epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2679.59,0.32089,0.9496,1,0.14334,0.0099987,0.0033329,0.0099987,0.0033329,0.0099987,0.0033329,0.0099987,0.0033329
2,2270.75,0.02863,0.99801,1,0.00625,0.0193387,0.00644625,0.0193387,0.00644625,0.0193387,0.00644625,0.0193387,0.00644625
3,1905.49,0.02522,0.99203,1,0.02365,0.0280188,0.0093396,0.0280188,0.0093396,0.0280188,0.0093396,0.0280188,0.0093396
4,3784.9,0.0476,0.99374,1,0.03576,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,5643.52,0.0311,0.99544,1,0.02672,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,7530.68,0.02406,0.99943,1,0.00271,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,9390.18,0.01614,0.99886,1,0.00316,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,11278.2,0.01203,0.99858,1,0.00421,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,13137.8,0.0134,0.99886,1,0.00231,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,15030.7,0.00843,0.99772,1,0.0144,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,16889.3,0.00872,0.99744,1,0.00899,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
